state,state_latitude,state_longitude,district,district_latitude,district_longitude,township,township_latitude,township_longitude,city,city_latitude,city_longitude,village,village_latitude,village_longitude,ward,ward_latitude,ward_longitude
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ဟင်္သာတခရိုင်,17.6458,95.461,ဇလွန်မြို့နယ်,17.4781,95.55666,ဇလွန်မြို့,17.4781,95.55666,​ကျောင်းကွင်းရွာ,17.440585,95.594732,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ငပုတောမြို့နယ်,16.3923,94.5058,ငရုတ်ကောင်းမြို့,16.52089,94.3019,​ကျောင်းကွဲရွာ,16.17869949,94.44217682,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ဟင်္သာတခရိုင်,17.6458,95.461,ဟင်္သာတမြို့နယ်,17.6458,95.461,တလုတ္ထော်မြို့,17.6419,95.3046,​ကျောင်းကုန်းရွာ,17.6427803,95.27976227,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ဟင်္သာတခရိုင်,17.6458,95.461,ဟင်္သာတမြို့နယ်,17.6458,95.461,တလုတ္ထော်မြို့,17.6419,95.3046,​ကျောင်းကုန်းရွာ,17.57338905,95.28885651,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ဟင်္သာတခရိုင်,17.6458,95.461,အင်္ဂပူမြို့နယ်,17.81833,95.26876,မဲဇလီကုန်းမြို့,17.9009,95.2288,​ကျောင်းကုန်းရွာ,17.7845993,95.26260376,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ဟင်္သာတခရိုင်,17.6458,95.461,အင်္ဂပူမြို့နယ်,17.81833,95.26876,မဲဇလီကုန်းမြို့,17.9009,95.2288,​ကျောင်းကုန်းရွာ,17.68868065,95.11490631,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ပုသိမ်မြို့နယ်,16.7838,94.5765,ချောင်းသာမြို့,16.9597,94.4447,​ကျောင်းကုန်းရွာ,16.81784058,94.59358978,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ဖျာပုံခရိုင်,16.28097,95.66946,ဖျာပုံမြို့နယ်,16.28097,95.66946,အမာမြို့,15.7994,95.29017,​ကျောင်းကုန်းရွာ,15.86153984,95.5353775,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,သာပေါင်းမြို့နယ်,17.04734,94.80589,သာပေါင်းမြို့,17.04734,94.80589,​ကျောင်းကုန်းရွာ,17.15712929,94.85507202,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ရေကြည်မြို့နယ်,17.35258,95.11993,ငသိုင်းချောင်းမြို့,17.39927,95.07731,​ကျောင်းကုန်းရွာ,17.45015907,94.957901,,,
